"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C4450","105~CloneInstance","C894","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\documentation\src\test\java\example\AssertionsDemo.java","114","2","124","3","1","1","50","11","1","0"
"C4451","106~CloneInstance","C894","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\documentation\src\test\java\example\AssertionsDemo.java","127","2","137","3","1","1","50","11","1","0"
"C5279","437~CloneInstance","C1174","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\documentation\src\test\java\example\DynamicTestsDemo.java","47","2","59","3","1","1","106","13","1","1"
"C5280","438~CloneInstance","C1174","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\documentation\src\test\java\example\DynamicTestsDemo.java","61","2","73","3","1","1","106","13","1","1"
"C3399","69~CloneInstance","C590","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\documentation\src\test\java\example\UsingTheLauncherDemo.java","37","3","47","48","1","1","193","11","1","1"
"C3400","70~CloneInstance","C590","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\documentation\src\test\java\example\UsingTheLauncherDemo.java","58","3","68","48","1","1","194","11","1","1"
"C3866","82~CloneInstance","C715","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\documentation\src\test\java\example\AssertionsDemo.java","56","4","65","5","1","1","78","10","1","0"
"C3867","83~CloneInstance","C715","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\documentation\src\test\java\example\AssertionsDemo.java","66","4","77","5","1","1","78","12","1","0"
"C5278","436~CloneInstance","C1174","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\documentation\src\test\java\example\testinterface\TestInterfaceDynamicTestsDemo.java","26","2","38","3","1","1","113","13","1","1"
"C5145","414~CloneInstance","C1136","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\documentation\src\test\java\example\testinterface\TestLifecycleLogger.java","39","2","49","3","1","1","33","11","1","0"
"C5146","415~CloneInstance","C1136","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\documentation\src\test\java\example\testinterface\TestLifecycleLogger.java","51","2","61","3","1","1","33","11","1","0"
"C5338","443~CloneInstance","C1189","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","171","2","185","3","1","4","6","15","1","0"
"C5339","444~CloneInstance","C1189","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","187","2","201","3","1","4","6","15","1","0"
"C5340","445~CloneInstance","C1189","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","203","2","217","3","1","4","6","15","1","0"
"C5341","446~CloneInstance","C1189","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.0\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","219","2","233","3","1","4","6","15","1","0"
