"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L25868","apache-license-2.0.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.1/src/spotless/apache-license-2.0.java","L25867","1","0","0","0","0","16"
"L25869","eclipse-public-license-2.0.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.1/src/spotless/eclipse-public-license-2.0.java","L25867","1","0","0","0","0","10"
"L25865","DefaultPackageTestCase.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.1/platform-tests/src/test/java/DefaultPackageTestCase.java","L1178","1","0","0","0","8","29"
"L25864","DefaultPackageTestCase.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.1/junit-jupiter-engine/src/test/java/DefaultPackageTestCase.java","L1186","1","0","0","0","8","29"
"L116","AssertionsDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.1/documentation/src/test/java/example/AssertionsDemo.java","L115","1","0","0","0","104","166"
"L117","AssumptionsDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.1/documentation/src/test/java/example/AssumptionsDemo.java","L115","1","0","0","0","24","51"
"L118","DisabledClassDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.1/documentation/src/test/java/example/DisabledClassDemo.java","L115","1","0","0","0","9","24"
"L119","DisabledTestsDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.1/documentation/src/test/java/example/DisabledTestsDemo.java","L115","1","0","0","0","12","29"
"L120","DisplayNameDemo.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.1/documentation/src/test/java/example/DisplayNameDemo.java","L115","1","0","0","0","18","37"
"L121","DocumentationTestSuite.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.1/documentation/src/test/java/example/DocumentationTestSuite.java","L115","1","0","1","0","12","38"
