"ID","Name","Parent","Component","Path","Line","Column","EndLine","EndColumn","CA","CCO","CE","CLLOC","CV","Clone Metric Rules"
"C4469","99~CloneInstance","C898","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\AssertionsDemo.java","114","2","124","3","1","1","50","11","1","0"
"C4470","100~CloneInstance","C898","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\AssertionsDemo.java","127","2","137","3","1","1","50","11","1","0"
"C5327","445~CloneInstance","C1187","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\DynamicTestsDemo.java","47","2","59","3","1","1","106","13","1","1"
"C5328","446~CloneInstance","C1187","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\DynamicTestsDemo.java","61","2","73","3","1","1","106","13","1","1"
"C3408","63~CloneInstance","C593","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\UsingTheLauncherDemo.java","37","3","47","48","1","1","193","11","1","1"
"C3409","64~CloneInstance","C593","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\UsingTheLauncherDemo.java","58","3","68","48","1","1","194","11","1","1"
"C3880","76~CloneInstance","C719","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\AssertionsDemo.java","56","4","65","5","1","1","78","10","1","0"
"C3881","77~CloneInstance","C719","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\AssertionsDemo.java","66","4","77","5","1","1","78","12","1","0"
"C5326","444~CloneInstance","C1187","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\testinterface\TestInterfaceDynamicTestsDemo.java","26","2","38","3","1","1","113","13","1","1"
"C5190","418~CloneInstance","C1148","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\testinterface\TestLifecycleLogger.java","39","2","49","3","1","1","33","11","1","0"
"C5191","419~CloneInstance","C1148","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\documentation\src\test\java\example\testinterface\TestLifecycleLogger.java","51","2","61","3","1","1","33","11","1","0"
"C5386","451~CloneInstance","C1202","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","171","2","185","3","1","4","6","15","1","0"
"C5387","452~CloneInstance","C1202","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","187","2","201","3","1","4","6","15","1","0"
"C5388","453~CloneInstance","C1202","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","203","2","217","3","1","4","6","15","1","0"
"C5389","454~CloneInstance","C1202","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","219","2","233","3","1","4","6","15","1","0"
"C5390","455~CloneInstance","C1202","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-api\src\main\java\org\junit\jupiter\api\AssertArrayEquals.java","235","2","249","3","1","4","6","15","1","0"
