"ID","Name","LongName","Parent","McCC","CLOC","PDA","PUA","LLOC","LOC"
"L6704","IsPotentialTestContainerTests.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/discovery/predicates/IsPotentialTestContainerTests.java","L6701","1","0","0","0","36","66"
"L6705","IsScannableTestClassTests.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/discovery/predicates/IsScannableTestClassTests.java","L6701","1","0","0","0","62","100"
"L6706","IsTestClassWithTestsTests.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/discovery/predicates/IsTestClassWithTestsTests.java","L6701","1","0","0","0","59","98"
"L6707","IsTestFactoryMethodTests.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/discovery/predicates/IsTestFactoryMethodTests.java","L6701","1","0","0","0","52","87"
"L6708","IsTestMethodTests.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/discovery/predicates/IsTestMethodTests.java","L6701","1","0","0","0","97","147"
"L6709","IsTestTemplateMethodTests.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/discovery/predicates/IsTestTemplateMethodTests.java","L6701","1","0","0","0","29","58"
"L9589","SystemPropertyCondition.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/extension/sub/SystemPropertyCondition.java","L9588","3","0","1","2","36","67"
"L8309","CustomAnnotation.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/execution/injection/sample/CustomAnnotation.java","L8308","1","0","1","0","9","25"
"L8310","CustomAnnotationParameterResolver.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/execution/injection/sample/CustomAnnotationParameterResolver.java","L8308","1","0","1","2","15","34"
"L8311","CustomType.java","C:/Users/Sokaina/Downloads/Versiones-Junit5/junit5-r5.0.2/junit-jupiter-engine/src/test/java/org/junit/jupiter/engine/execution/injection/sample/CustomType.java","L8308","1","0","1","1","9","28"
