"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Cohesion Metric Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Inheritance Metric Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L11278","TestTemplateInvocationTests$StringParameterResolvingInvocationContextProvider$1$1","org.junit.jupiter.engine.TestTemplateInvocationTests$StringParameterResolvingInvocationContextProvider$1$1","L11275","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\junit-jupiter-engine\src\test\java\org\junit\jupiter\engine\TestTemplateInvocationTests.java","605","51","618","7","0","0","0","0","0","0","0","0","2","0","0","2","4","0","0","0","2","0","0","0","0","0","3","0","0","2","2","0","0","1","12","14","0","0","0","0","2","0","2","0","2","2","0","2","0","12","14","0","0","0","0","2","0","2","0","2","2","0","2","0","0","0","8","0","0","0","0","0","0","0","1","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15665","CollectionUtilsTests$1","org.junit.platform.commons.util.CollectionUtilsTests$1","L15662","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\platform-tests\src\test\java\org\junit\platform\commons\util\CollectionUtilsTests.java","142","54","153","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","10","12","0","0","0","0","1","0","1","0","1","1","0","1","0","10","12","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15674","CollectionUtilsTests$2","org.junit.platform.commons.util.CollectionUtilsTests$2","L15671","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\platform-tests\src\test\java\org\junit\platform\commons\util\CollectionUtilsTests.java","167","51","173","4","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","6","7","0","0","0","0","1","0","1","0","1","1","0","1","0","6","7","0","0","0","0","1","0","1","0","1","1","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16025","ReflectionUtilsTests$FirstClass$SecondClass","org.junit.platform.commons.util.ReflectionUtilsTests$FirstClass$SecondClass","L16020","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\platform-tests\src\test\java\org\junit\platform\commons\util\ReflectionUtilsTests.java","1231","3","1235","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16053","ReflectionUtilsTests$ClassWithNestedClasses$Nested1","org.junit.platform.commons.util.ReflectionUtilsTests$ClassWithNestedClasses$Nested1","L16048","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\platform-tests\src\test\java\org\junit\platform\commons\util\ReflectionUtilsTests.java","1240","3","1241","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16056","ReflectionUtilsTests$ClassWithNestedClasses$Nested2","org.junit.platform.commons.util.ReflectionUtilsTests$ClassWithNestedClasses$Nested2","L16048","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\platform-tests\src\test\java\org\junit\platform\commons\util\ReflectionUtilsTests.java","1243","3","1244","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16059","ReflectionUtilsTests$ClassWithNestedClasses$Nested3","org.junit.platform.commons.util.ReflectionUtilsTests$ClassWithNestedClasses$Nested3","L16048","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\platform-tests\src\test\java\org\junit\platform\commons\util\ReflectionUtilsTests.java","1246","3","1247","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16069","ReflectionUtilsTests$InterfaceWithNestedClass$Nested4","org.junit.platform.commons.util.ReflectionUtilsTests$InterfaceWithNestedClass$Nested4","L16396","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\platform-tests\src\test\java\org\junit\platform\commons\util\ReflectionUtilsTests.java","1252","3","1253","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16072","ReflectionUtilsTests$Interface45$Nested5","org.junit.platform.commons.util.ReflectionUtilsTests$Interface45$Nested5","L16398","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\platform-tests\src\test\java\org\junit\platform\commons\util\ReflectionUtilsTests.java","1258","3","1259","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L16608","ToStringBuilderTests$1","org.junit.platform.commons.util.ToStringBuilderTests$1","L16605","L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\platform-tests\src\test\java\org\junit\platform\commons\util\ToStringBuilderTests.java","132","63","135","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
