"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L24130","descriptor","org.junit.vintage.engine.descriptor","L24106","L103","0","0","0","0","0","0","0","0","0.25","0.251497","42","2","6","0.25","0.251497","42","2","6","125","204","7","3","0","4","0","14","4","0","7","0","125","204","7","3","15","0","4","4","0","14","32","4","2","0","0","0","7","0","0","0","44","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L24211","discovery","org.junit.vintage.engine.discovery","L24106","L103","0.0163762","1","2","2","0.244444","0.428571","11","9","0.333333","0.266898","308","1","2","0.333333","0.266898","308","1","2","846","1430","26","31","0","3","1","90","0","0","22","0","846","1430","26","31","22","0","22","3","1","90","237","0","6","0","0","0","22","0","0","0","280","8","48","0","0","29","19","0","5","0","2","0","1","0","0","0","0","0","0","0","0","0","0"
"L24812","execution","org.junit.vintage.engine.execution","L24106","L103","0","0","0","0","0","0","0","0","0.333333","0.176056","75","1","2","0.333333","0.176056","75","1","2","351","508","12","4","0","2","0","48","0","0","9","0","351","508","12","4","22","0","5","2","0","48","119","0","1","0","0","0","9","0","0","0","106","6","18","0","0","3","18","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"L25054","support","org.junit.vintage.engine.support","L24106","L103","0","0","0","0","0","0","0","0","0.4","0.237668","53","2","3","0.4","0.237668","53","2","3","170","287","6","6","0","1","0","17","0","0","4","0","170","287","6","6","22","0","5","1","0","17","51","0","2","0","0","0","4","0","0","0","53","3","18","0","0","15","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25241","samples","org.junit.vintage.engine.samples","L24106","L103","0","0","0","0","0","0","0","0","0.5","0.722222","13","1","1","0.416667","0.474522","447","35","49","5","23","0","1","0","0","0","1","0","2","1","0","495","1189","6","39","17","0","37","2","4","48","53","3","38","0","4","2","44","0","0","0","177","7","12","0","0","9","4","0","1","0","3","0","2","0","0","0","0","0","0","0","0","0","0"
"L6085","subpackage","org.junit.jupiter.engine.descriptor.subpackage","L4889","L103","0","0","0","0","0","0","0","0","0.8","0.6","48","4","1","0.8","0.6","48","4","1","32","104","0","6","0","0","0","4","0","0","0","0","32","104","0","6","16","0","4","0","0","4","0","0","5","0","0","0","0","0","0","0","15","2","4","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"L6689","predicates","org.junit.jupiter.engine.discovery.predicates","L6300","L103","0","0","0","0","0","0","0","0","0.5","0.306351","246","7","7","0.5","0.306351","246","7","7","557","1056","18","42","0","0","0","80","0","0","12","0","557","1056","18","42","24","0","18","0","0","80","92","0","7","0","0","0","12","0","0","0","267","17","41","0","0","35","1","0","2","0","17","0","3","0","0","0","0","0","0","0","0","0","0"
"L8305","injection","org.junit.jupiter.engine.execution.injection","L7416","L103","0","0","0","0","0","0","0","0","0","0","0","0","0","0.366667","0.497126","173","11","19","0","0","0","0","0","0","0","0","0","1","0","0","175","427","1","10","17","0","11","0","0","19","35","0","10","0","0","1","19","0","0","0","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9587","sub","org.junit.jupiter.engine.extension.sub","L8511","L103","0","0","0","0","0","0","0","0","0.333333","0.320755","17","1","2","0.333333","0.320755","17","1","2","36","67","0","1","0","0","0","3","0","0","1","0","36","67","0","1","16","0","1","0","0","3","9","0","1","0","0","0","1","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11401","adapter","org.junit.jupiter.migrationsupport.rules.adapter","L11371","L103","0","0","0","0","0","0","0","0","0.294118","0.391304","63","5","12","0.294118","0.391304","63","5","12","98","209","1","4","0","0","1","14","0","0","12","0","98","209","1","4","16","0","6","0","1","14","14","0","4","0","1","0","12","0","0","0","42","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L11519","member","org.junit.jupiter.migrationsupport.rules.member","L11371","L103","0","0","0","0","0","0","0","0","0.5","0.485714","51","3","3","0.5","0.485714","51","3","3","54","139","1","3","0","2","1","6","0","0","4","0","54","139","1","3","16","0","5","2","1","6","7","0","2","0","1","0","4","0","0","0","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L19986","descriptor","org.junit.platform.engine.support.descriptor","L19985","L103","0.0597037","4","20","8","0","0","0","0","0.530612","0.334755","628","52","46","0.530612","0.334755","628","52","46","1248","2286","36","22","0","35","2","172","0","0","86","3","1248","2286","36","22","26","0","23","35","2","172","408","0","12","0","2","0","86","3","0","1","412","28","88","9","0","54","24","0","26","0","2","0","11","0","0","0","0","0","0","0","0","0","0"
"L20612","filter","org.junit.platform.engine.support.filter","L19985","L103","0","0","0","0","0","0","0","0","0.8","0.505155","49","4","1","0.8","0.505155","49","4","1","48","118","2","2","0","0","0","4","0","0","3","0","48","118","2","2","16","0","3","0","0","4","10","0","2","0","0","0","3","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L20649","hierarchical","org.junit.platform.engine.support.hierarchical","L19985","L103","0.353946","11","27","27","0","0","0","0","0.461538","0.307143","344","24","28","0.461538","0.307143","344","24","28","776","1387","24","18","0","8","4","81","0","0","45","1","776","1387","24","18","26","0","14","8","4","81","340","0","7","0","4","0","45","1","0","0","291","30","45","3","0","36","12","0","20","0","1","0","6","0","0","0","0","0","0","0","0","0","0"
"L21327","event","org.junit.platform.engine.test.event","L21316","L103","0.0126939","1","1","1","0.0934579","0.117647","10","8","0.056338","0.141509","60","4","67","0.056338","0.141509","60","4","67","364","532","9","4","1","22","0","76","6","0","66","0","364","532","9","4","16","1","4","22","0","76","88","6","4","1","0","0","66","0","0","0","195","3","6","21","0","0","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L25244","junit3","org.junit.vintage.engine.samples.junit3","L25241","L103","0","0","0","0","0","0","0","0","0.5","0.580645","36","3","3","0.5","0.580645","36","3","3","26","82","0","3","0","0","0","3","0","0","3","0","26","82","0","3","16","0","3","0","0","3","5","0","3","0","0","0","3","0","0","0","9","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"L25262","junit4","org.junit.vintage.engine.samples.junit4","L25241","L103","0","0","0","0","0","0","0","0","0.407895","0.461717","398","31","45","0.407895","0.461717","398","31","45","464","1084","6","35","0","2","4","44","3","0","40","0","464","1084","6","35","16","0","33","2","4","44","48","3","34","0","4","0","40","0","0","0","167","7","11","0","0","9","4","0","1","0","3","0","1","0","0","0","0","0","0","0","0","0","0"
"L8306","sample","org.junit.jupiter.engine.execution.injection.sample","L8305","L103","0","0","0","0","0","0","0","0","0.366667","0.497126","173","11","19","0.366667","0.497126","173","11","19","175","427","1","10","0","0","0","19","0","0","19","0","175","427","1","10","17","0","11","0","0","19","35","0","10","0","0","0","19","0","0","0","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
