"ID","Name","LongName","CC","CCL","CCO","CEE","CEG","CI","CLC","CLLC","CR","LDC","LLDC","NCR","TAD","TCD","TCLOC","TPDA","TPUA","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L103","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\.columbus_java\Junit5-V3.ljsi","C:\Users\Sokaina\Downloads\Versiones-Junit5\junit5-r5.0.2\.columbus_java\Junit5-V3.ljsi","0.0830286","137","442","7040.36","0.31803","329","0.056552","0.0809822","0.0281757","4187","3542","0.0606323","0.598377","0.292872","18115","885","594","43738","74038","925","1045","237","13","649","554","102","5234","13640","91","253","9","64","73","1695","39","0","35","16148","1099","3324","259","0","2439","818","0","457","0","260","0","418","0","0","0","1","0","65","0","0","0","0"
"L102","<System>","<System>","0.0830286","137","442","7040.36","0.31803","329","0.056552","0.0809822","0.0281757","4187","3542","0.0606323","0.598377","0.292872","18115","885","594","43738","74038","925","1045","237","13","649","554","102","5234","13640","91","253","9","64","73","1695","39","0","35","16148","1099","3324","259","0","2439","818","0","457","0","260","0","418","0","0","0","1","0","65","0","0","0","0"
